"Entity unique id","Entity name","Country","Detected At","Attribute","Attribute Original Name","Attribute rank","Risk","Correlation status","Is full match","Schema","Collection","Field","Data Source","Scanner type","System location","Scan id","Record ID"
"829-00-2162","Thomas U. Banks","RU","2021-04-20T10:10:49.239Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_file1.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"989-00-2795","Arthur E. Powell","Israel","2021-04-20T10:10:49.245Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_file1.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"254-26-5781","Jerome A. Park","Israel","2021-04-20T10:10:49.246Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_file1.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"697-22-4208","Howard G. Cummings","Israel","2021-04-20T10:10:49.247Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_file1.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"829-00-2162","Thomas U. Banks","RU","2021-04-20T10:10:49.411Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_subfolder1/folder1_subdolder1_file2.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"989-00-2795","Arthur E. Powell","Israel","2021-04-20T10:10:49.412Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_subfolder1/folder1_subdolder1_file2.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"254-26-5781","Jerome A. Park","Israel","2021-04-20T10:10:49.413Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_subfolder1/folder1_subdolder1_file2.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"697-22-4208","Howard G. Cummings","Israel","2021-04-20T10:10:49.414Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_subfolder1/folder1_subdolder1_file2.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"829-00-2162","Thomas U. Banks","RU","2021-04-20T10:10:51.906Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_file1.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"989-00-2795","Arthur E. Powell","Israel","2021-04-20T10:10:51.912Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_file1.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
"254-26-5781","Jerome A. Park","Israel","2021-04-20T10:10:51.913Z","ssn","ssn",1,49.5,"sure_match",false,,"project1/folder1/folder1_file1.txt",,"git test","gitlab","N/A","607ea8a3ba5e59048a536c87",
